Nom
FERME DU GREZOU
FERME DU GRUNENWALD
Ferme du Haut Clouzet
Ferme du Héron Cendré
Ferme du Houtrou
Ferme du Joyeux Laboureur
ferme du Kleinwald - Lorraine
Ferme du Labouran
Ferme du Lac Noir
FERME DU LACAY
Ferme du Landgraben
FERME DU LANGTHAL
Ferme du Launay
Ferme du Lieu Bellemare
Ferme du Luguen
Ferme du lycée agricole de Besançon
FERME DU MANOU
FERME DU MAS DE BELBONNE
Ferme du Maupas
Ferme du Mont au Bec
Ferme du Mont de Cuy
Ferme du Montagut
Ferme du Moulin
Ferme du Moulin à Matougues
Ferme du Moulin à Saint Rémy sur Bussy
Ferme du Moulinet
Ferme du Padouen
Ferme du Patureau
Ferme du Pic Saint Michel
Ferme du Pigeonnier
FERME DU PLATEAU DES SOIES
Ferme du Pont Caillaud
Ferme du Porc du Lac
Ferme du Pré Caillet
Ferme du Pressoir
FERME DU PRINCON
Ferme du Promenoir
Ferme du Rodier
Ferme du Roettling
Ferme du Rolland
Ferme du Taillefer
ferme du Tilhet
"Ferme du Tilloy , du Champs à la Chope"
Ferme du Tripet
Ferme du Val d'Osseux
Ferme du vieux charme
Ferme du Vièvre
FERME DU VILGUENAIS - PRODUCTEUR DE PORC
Ferme du Village
Ferme Elizaldia
Ferme ERNWEIN
FERME ET CAMPING A LA FERME
Ferme Etchebarne
Ferme Fabienne et Clément DIRRINGER
Ferme FAUST
Ferme Friess - Le Niederrott
Ferme fromagère de suscinio - tome de rhuys
Ferme fromagère du Pays de Pail
Ferme Fruirouge
Ferme Fruitière de la Hautière
Ferme Fruitière du KEHLBACH
Ferme fruitière Rothgerber
Ferme Gillot
FERME GITE LA GASTINE - BIERE LA GATINE
FERME GRADT
Ferme Grandguillotte-Lauzet
Ferme GRANDVILLAIN
Ferme Grollemund
Ferme Guéherville
Ferme Guilhem
Ferme GUILLAUMONT
FERME HAENNI
Ferme Hélicicole du Jardin des Lierres
Ferme KOBLOTH
FERME KOEHL
Ferme la Candarette
Ferme la Closerie
Ferme la Croix du Planay
Ferme La Fruitière
Ferme la Grand'Lande
